,sid,datetime,temperature,precipitation,wind_speed
3600,433,2019-02-01 00:00:00,-1.6,0.0,2.8
3601,433,2019-02-01 01:00:00,-2.3,0.0,2.8
3602,433,2019-02-01 02:00:00,-2.7,0.0,3.1
3603,433,2019-02-01 03:00:00,-2.8,0.0,2.4
3604,433,2019-02-01 04:00:00,-3.4,0.0,3.3
3605,433,2019-02-01 05:00:00,-3.4,0.0,4.0
3606,433,2019-02-01 06:00:00,-3.2,0.0,5.5
3607,433,2019-02-01 07:00:00,-2.9,0.0,3.8
3608,433,2019-02-01 08:00:00,-2.2,0.0,4.7
3609,433,2019-02-01 09:00:00,-1.2,0.0,5.3
3610,433,2019-02-01 10:00:00,-0.6,0.0,4.5
3611,433,2019-02-01 11:00:00,-0.1,0.0,4.8
3612,433,2019-02-01 12:00:00,0.6,0.0,3.8
3613,433,2019-02-01 13:00:00,1.3,0.0,4.5
3614,433,2019-02-01 14:00:00,1.7,0.0,4.0
3615,433,2019-02-01 15:00:00,1.9,0.0,3.7
3616,433,2019-02-01 16:00:00,1.9,0.0,3.6
3617,433,2019-02-01 17:00:00,1.7,0.0,2.7
3618,433,2019-02-01 18:00:00,1.4,0.0,3.3
3619,433,2019-02-01 19:00:00,0.6,0.0,2.8
3620,433,2019-02-01 20:00:00,0.6,0.0,2.2
3621,433,2019-02-01 21:00:00,0.7,0.0,1.8
3622,433,2019-02-01 22:00:00,0.7,0.0,3.1
3623,433,2019-02-01 23:00:00,1.0,0.0,3.0
3624,433,2019-02-02 00:00:00,1.2,0.0,3.6
3625,433,2019-02-02 01:00:00,0.9,0.1,2.6
3626,433,2019-02-02 02:00:00,0.8,0.9,2.2
3627,433,2019-02-02 03:00:00,0.5,0.4,2.6
3628,433,2019-02-02 04:00:00,0.6,0.0,3.3
3629,433,2019-02-02 05:00:00,0.6,0.0,2.7
3630,433,2019-02-02 06:00:00,0.6,0.0,2.9
3631,433,2019-02-02 07:00:00,0.6,0.0,2.0
3632,433,2019-02-02 08:00:00,0.7,0.0,1.5
3633,433,2019-02-02 09:00:00,0.8,0.0,2.0
3634,433,2019-02-02 10:00:00,1.0,0.0,2.1
3635,433,2019-02-02 11:00:00,1.3,0.0,1.2
3636,433,2019-02-02 12:00:00,1.4,0.0,0.5
3637,433,2019-02-02 13:00:00,1.8,0.0,1.4
3638,433,2019-02-02 14:00:00,1.1,0.5,2.0
3639,433,2019-02-02 15:00:00,0.8,0.6,2.1
3640,433,2019-02-02 16:00:00,0.7,0.5,2.5
3641,433,2019-02-02 17:00:00,0.8,0.0,3.6
3642,433,2019-02-02 18:00:00,0.8,0.0,3.8
3643,433,2019-02-02 19:00:00,0.7,0.0,4.2
3644,433,2019-02-02 20:00:00,0.7,0.0,3.1
3645,433,2019-02-02 21:00:00,0.9,0.0,3.7
3646,433,2019-02-02 22:00:00,0.9,0.0,4.5
3647,433,2019-02-02 23:00:00,0.7,0.0,5.0
3648,433,2019-02-03 00:00:00,0.6,0.0,4.6
3649,433,2019-02-03 01:00:00,0.8,0.0,3.1
3650,433,2019-02-03 02:00:00,1.0,0.0,4.5
3651,433,2019-02-03 03:00:00,1.0,0.0,4.0
3652,433,2019-02-03 04:00:00,1.2,0.0,3.5
3653,433,2019-02-03 05:00:00,1.2,0.0,4.7
3654,433,2019-02-03 06:00:00,1.3,0.0,4.3
3655,433,2019-02-03 07:00:00,1.2,0.0,3.5
3656,433,2019-02-03 08:00:00,1.2,0.0,3.4
3657,433,2019-02-03 09:00:00,1.2,0.0,5.0
3658,433,2019-02-03 10:00:00,1.4,0.0,3.8
3659,433,2019-02-03 11:00:00,1.4,0.0,4.8
3660,433,2019-02-03 12:00:00,1.9,0.0,4.8
